Море,Океан,Страны,"Площадь, кв.км.","Максимальная глубина,"
,,,,м
Берингово море,Тихий,"Россия, США",2315000,4151
Охотское море,Тихий,"Россия, Япония",1603000,3916
Японское море,Тихий,"Япония, Южная Корея, КНДР, Россия",1062000,3742
Баренцево море,Северный Ледовитый,"Россия, Норвегия",1424000,600
Восточно-Сибирское море,Северный Ледовитый,Россия,944600,915
Карское море,Северный Ледовитый,Россия,893400,620
Море Лаптевых,Северный Ледовитый,Россия,672000,3385
Чукотское море,Северный Ледовитый,"США, Россия",589600,1256
Белое море,Северный Ледовитый,Россия,90800,343
Чёрное море,Атлантический,"Россия, Украина, Румыния, Болгария, Турция, Грузия",422000,2210
Балтийское море,Атлантический,"Швеция, Финляндия, Эстония, Латвия, Литва, Россия, Дания, Германия, Польша",419000,4
Азовское море,Атлантический,"Украина, Россия",39000,13.5
