Озеро,Регионы России,"Площадь, км","Высота над уровнем неба, м","Глубина, м",Вытекающая река,,,,,
Каспийское море,"Дагестан, Калмыкия, Астраханская область",371000,−28,1025,бессточное,,,,,
Байкал,"Бурятия, Иркутская область",31500,456,1642,Ангара,,,,,
Ладожское озеро,"Республика Карелия, Ленинградская область",17703,4,225,Нева,,,,,
Онежское озеро,"Республика Карелия, Ленинградская область, Вологодская область",9616,32,124,Свирь,,,,,
Таймыр,Красноярский край,4560,6,26,Нижняя Таймыра,,,,,
Ханка,Приморский край,4190,68,10,Сунгача,,,,,
Чудско-Псковское озеро,Псковская область,3555,30,15,Нарва,,,,,
Убсу-Нур,Тува,3350,753,15,бессточное,,,,,
Чаны,Новосибирская область,1990,105,12,бессточное,,,,,
Белое озеро,Вологодская область,1290,113,20,Шексна,,,,,
Топозеро,Республика Карелия,986,110,56,Ковда,,,,, 
Ильмень,Новгородская область,982,18,10,Волхов,,,,,
Хантайское озеро,Красноярский край,822,65,420,протока к оз. Мал. Хантайское,,,,, 
Сегозеро,Республика Карелия,815,120,103,Сегежа,,,,, 
Имандра,Мурманская область,812,128,67,Нива,,,,,
Пясино,Красноярский край,735,28,10,Пясина,,,,,
Кулундинское озеро,Алтайский край,728,98,4,бессточное,,,,,
Пяозеро,Республика Карелия,659,110,49,Ковда,,,,,
Выгозеро,Республика Карелия,560,89,24,Нижний Выг,,,,,
Нерпичье озеро,Камчатский край,552,0.40000000000000002,12,Озёрная,,,,,
Лабаз,Красноярский край,470,47, ,Боганида,,,,,
Красное озеро,Чукотский АО,458,0,4,протока к реке Анадырь,,,,,
Кета,Красноярский край,452,93,180,Рыбная,,,,,
Убинское озеро,Новосибирская область,440,134,4,Убинка,,,,,
Пекульнейское озеро,Чукотский АО,435,0.69999999999999996, ,Майна,,,,,
Умбозеро,Мурманская область,422,149,115,Умба,,,,,
Воже,Вологодская область,416,120,4,Свидь,,,,,
Кубенское озеро,Вологодская область,407,109,13,Сухона,,,,,
Чукчагирское озеро,Хабаровский край,366,70,6,Ольджикан,,,,,
Портнягино,Красноярский край,360,62, ,Гусиха,,,,,
Маныч-Гудило,"Калмыкия, Ставропольский край, Ростовская область",344,10,1,Маныч,,,,,
Болонь,Хабаровский край,338,19,4,протока к Амуру,,,,,
Лача,Архангельская область,334,118,6,Онега,,,,,
Удыль,Хабаровский край,330,12,5,Ухта,,,,,
Моготиево озеро,Республика Саха,323,0, ,Мелкая (Моготоевская),,,,,
Водлозеро,Республика Карелия,322,136,4,Водла,,,,,
Лама,Красноярский край,318,45,208,Лама,,,,,
Орель,Хабаровский край,314,2,4,протока к Амуру,,,,,
Кизи,Хабаровский край,280,6,4,протока к Амуру,,,,,
Мелкое,Красноярский край,270,44,22,Талая,,,,,
Кунгасалах,Красноярский край,270,76, ,Новая,,,,,
Сямозеро,Республика Карелия,266,106,24,Сяпся,,,,,
Среднее Куйто,Республика Карелия,257,101, ,Кемь,,,,,
Пюхяярви,Республика Карелия,255,80,32,протока к озеру Сайма,,,,,
Бустах,Республика Саха,249,1, ,Суруктах,,,,,
Яррото 1-е,Тюменская область,247,31,8,Правый Юрибей,,,,,
Кроноцкое озеро,Камчатский край,242,372,148,Кроноцкая,,,,,
Сартлан,Новосибирская область,238,110,6,бессточное,,,,,
Ессей,Красноярский край,238,266, ,Сикэй Сээн,,,,,
Нерпичье озеро,Республика Саха,237,0.59999999999999998, ,Нерпичья,,,,,
Виви,Красноярский край,229,253, ,Виви,,,,,
Ковдозеро,Мурманская область,224,37,63,Ковда,,,,,
Кереть,Республика Карелия,223,91,5,Кереть,,,,,
Телецкое озеро,Республика Алтай,223,434,325,Бия,,,,,
Селигер,"Новгородская область, Тверская область",222,205,24,Селижаровка,,,,,
Нейто-Малто,Тюменская область,214,17,17.100000000000001,Сёяха (Мутная),,,,,
Нюк,Республика Карелия,214,134,40,Растас и Хяме,,,,,
Ловозеро,Мурманская область,209,153,35,Воронья,,,,,
Тикшеозеро,Республика Карелия,209,112,40,Лопская,,,,,
Большое Морское озеро (Майнычин-Анкаватан),Республика Саха,205,5, ,Анкаваам,,,,,
Шурышкарский Сор,Тюменская область,203,3,5,протока Шурышкарская в Малую Горную Обь,,,,,
