Река,"Длина, км","Площадь, тыс.км2 ","Расход воды, м3/с","Высота истока над уровнем неба, м","Высота устья над уровнем неба, м","Общее падение, м","Уклон реки, м/км",Краткое описание,Регионы России
Лена,4400,2490,16800,1466,0,1466,0.33300000000000002,"река в Иркутской области и Якутии в России, приток моря Лаптевых","Иркутская область, Республика Саха (Якутия)"
Иртыш,4248,1643,2800,145.19999999999999,17.800000000000001,128.19999999999999,0.029999999999999999,"река в Омской и Тюменской областях и Ханты-Мансийском АО в России, левый приток Оби","г. Омск, г. Тара, г. Тобольск, г. Ханты-Мансийск."
Обь,3650,2990,12800,160,0,160,0.043999999999999997,"река в Алтайском крае, Новосибирской области, Томской области, Ханты-Мансийском АО и Ямало-Ненецком АО в России, приток Карского моря","Алтайский край, Новосибирская область, Томская область, Ханты-Мансийский АО, Ямало-Ненецкий АО"
Волга,3531,1360,7870,228,-28,256,0.072999999999999995,"река в европейской части России, приток Каспийского моря","Тверская область, Московская область, Ярославская область, Костромская область, Ивановская область, Нижегородская область, Республика Марий Эл, Чувашская республика, Республика Татарстан, Ульяновская область, Саратовская область, Волгоградская область, Республика Калмыкия, Астраханская область"
Енисей,3487,2580,19800,619.5,0,619.5,0.17799999999999999,"река в Тыве, Хакасии и Красноярском крае в России","Республика Тыва, Республика Хакасия, Красноярский край"
Нижняя Тунгуска,2989,473,3430,,,,,"река в Иркутской области и Красноярском крае России, правый приток Енисея","Иркутская область, Красноярский край"
Амур,2824,1855,10900,1000,0,1000,0.35399999999999998,"река в Китае и в Забайкальском крае, Амурской области, Еврейской АО и Хабаровском крае в России, приток Охотского моря","Забайкальский край, Амурская область, Еврейская автономная область, Хабаровский край"
Вилюй,2650,454,1520,,,,,"река в Красноярском крае и Якутии в России, левый приток Лены","Красноярский край, Республика Саха (Якутия)"
Ишим,2450,177,76.299999999999997,,,,,"река в Казахстане (1400км) и в Тюменской и Омской областях России (1050км), левый приток Иртыша",г. Ишим
Урал,2428,237,261,759,-28,787,0.32400000000000001,"река в Башкортостане, Челябинской и Оренбургской областях в России и в Казахстане, приток Каспийского моря","Республика Башкортостан, Челябинская область, Оренбургская область"
Алдан,2273,729,5500,,72,,,"река в Якутии в России, правый приток Лены",Республика Саха (Якутия)
Оленёк,2270,219,1290,,,,,"река в Красноярском крае и Якутии в России, приток моря Лаптевых","Красноярский край, Республика Саха (Якутия)"
Днепр,2200,504,1670,,,,,"река в Смоленской области России, Белоруссии и Украине, приток Чёрного моря",Смоленская область
Колыма,2129,643,3830,1500,0,1500,0.70499999999999996,"река в Магаданской области и Якутии в России, приток Восточно-Сибирского моря","Магаданская область, Якутия"
Дон,1870,421.69999999999999,876,180,0,180,0.096000000000000002,"река в Тульской, Рязанской, Липецкой, Воронежской, Ростовской и Волгоградской областях в России, приток Азовского моря","Тульская область, Рязанская область, Липецкая область, Воронежская область, Волгоградская область"
Подкаменная Тунгуска,1865,240,1580,,0,,,"река в Иркутской области и Красноярском крае в России, правый приток Енисея","Иркутская область, Красноярский край"
Витим,1837,225,2200,,,,,"река в Бурятии, Забайкальском крае, Иркутской области и Якутии в России, правый приток Лены","Республика Бурятия, Забайкальский край, Иркутская область, Якутия"
Печора,1809,322,4140,,,,,"река в Коми и Ненецком АО в России, приток Печорского моря","Республика Коми, Ненецкий автономный окру"
Кама,1805,507,3390,331,53,278,0.154,"река в Удмуртии, Кировской области, Пермском крае, Башкортостане и Татарстане в России, левый приток Волги","Удмуртия, Кировская область, Пермский край, Республика Башкортостан, Республика Татарстан"
Чулым,1799,134,785,,,,,"река в Хакасии, Кемеровской области, Красноярском крае и Томской области в России, правый приток Оби","Республика Хакасия, Красноярский край, Кемеровская область, Томская область"
Ангара,1779,1039,5250,456,76,380,0.214,"река в Иркутской области и Красноярском крае в России, правый приток Енисея","Иркутская область, Красноярский край"
Индигирка,1726,360,1600,792,0,792,0.45900000000000002,"река в Якутии в России, приток Восточно-Сибирского моря",Республика Саха (Якутия)
Кеть,1621,94.200000000000003,560,332,48.5,283.5,0.17499999999999999,"река в Красноярском крае и Томской области в России, правый приток Оби","Красноярский край, Томская область"
Аргунь,1620,164,192,0,1000,0,0,"река в Китае и в Забайкальском крае в России, правая составляющая Амура",Забайкальский край
Тобол,1591,426,810,,,,,"река в Казахстане и в Курганской и Тюменской областях в России, левый приток Иртыша","Курганская область, Тюменская область"
Алазея,1520,64.700000000000003,320,116,0,116,0.075999999999999998,"река в Якутии в России, приток Восточно-Сибирского моря",Якутия
Ока,1500,245,1240,221,63,158,0.105,"река в Орловской, Тульской, Калужской, Московской, Рязанской, Владимирской и Нижегородской областях в России, правый приток Волги","Орловская область, Тульская область, Калужская область, Московская область, Рязанская область, Владимирская область, Нижегородская область"
Амга,1462,69.299999999999997,191.41999999999999,,,,,"река в Якутии в России, левый приток Алдана",Якутия
Олёкма,1436,210,1950,,,,,"река в Забайкальском крае, Амурской области и Якутии в России, правый приток Лены","Забайкальский край, Амурская область, Якутия"
Белая,1430,142,840,744,62,682,0.47699999999999998,"река на Южном Урале и в Предуралье в Башкорстане и Татарстане в России, левый приток Камы","Республика Башкортостан, Республика Татарстан"
